"","V1","sgBaseDiffb","sg102Diffb","sg113Diffb","sg130Diffb","sg103Diffb","sg91Diffb"
"61",1140,5.69438331676107e-07,3.09767932145552e-06,-2.89772387674486e-06,-6.38444694388752e-07,-7.12449943219175e-06,9.91844208627424e-06
"62",1139,-7.12558614656516e-06,1.32307474964823e-06,-5.57158459256362e-06,-5.98073255415912e-06,-8.2981509554936e-06,-7.98735064469298e-07
"63",1138,-8.75837449264025e-06,1.49423226346297e-06,-7.04734271167839e-06,-7.32282480534231e-06,-9.57286691552426e-06,-4.16483283616154e-06
"64",1137,-7.39998152585563e-06,3.99150189359981e-06,-3.93879624648855e-06,-7.46409767388787e-06,-7.23643101265479e-06,-1.18495335278552e-05
"65",1136,-2.41630940931639e-06,1.42033568606999e-06,8.2590292380507e-08,-6.45671344972046e-06,-5.51453208795865e-06,-6.73817247243817e-06
"66",1135,-2.18266581902946e-06,1.25732853005583e-06,7.86237849174923e-07,-5.0879966963883e-06,3.13680103889896e-06,-4.12462440434471e-06
"67",1134,-2.59561728093196e-06,-4.98747561684627e-06,-4.96900147249798e-06,-4.30827913345396e-06,-1.6735401350786e-06,-3.20961090191862e-06
"68",1133,-3.22047804565287e-06,-4.19417412424407e-06,-6.96040556180415e-06,-5.36293543286551e-06,-4.40445335550229e-06,-4.2370993419944e-06
"69",1132,-3.02704288718275e-06,-6.91367684374677e-06,-1.23238843518564e-05,-8.69751848772829e-06,-5.22981292212063e-06,-5.06626240891971e-06
"70",1131,-4.96682804375114e-06,-1.2656962307312e-05,-9.07243494656083e-06,-5.95247798045002e-06,-1.13289973429833e-05,-1.10747061796013e-05
"71",1130,-1.41490211420281e-06,-1.34551540145945e-05,-1.2949288473764e-05,-4.62016615862771e-06,-1.40832749224358e-05,-6.5061589537114e-06
"72",1129,-2.59181378062499e-06,-1.17185844458572e-05,-1.1071446036481e-05,-3.70080579870787e-06,-8.65622334153803e-06,-7.60374047087331e-06
"73",1128,2.29622747105263e-06,-6.46051695002746e-06,-2.93901902293514e-06,-3.76600866111357e-06,-5.50964187327824e-06,-2.04356637923075e-06
"74",1127,9.90159801348614e-06,-3.02378274406246e-06,6.73925918681163e-06,-1.25569845849565e-06,2.83632451464612e-07,-1.64148206106246e-06
"75",1126,1.27161882406638e-05,1.33665867931601e-06,1.19006091034063e-05,-1.26058867317593e-07,3.86978988377589e-06,6.25241114751606e-06
"76",1125,1.07785765128423e-05,9.36584782738629e-06,1.86061801446417e-05,6.84086698072713e-06,1.21516401236681e-05,5.81174846909111e-06
"77",1124,7.80097912965047e-06,1.1221412620014e-05,1.68783042908917e-05,7.80043577246376e-06,1.14936345705576e-05,4.85000624860762e-06
"78",1123,3.73123380116388e-06,1.78166821523465e-05,1.46157649654153e-05,4.82609853239223e-06,1.26352280198434e-05,3.8018702354367e-06
"79",1122,-1.37415032519929e-06,1.69554610114051e-05,9.95376030341065e-06,3.94748996147598e-06,1.55351253253351e-05,-1.24972152944273e-08
"80",1121,-7.03701892513082e-06,8.90942779054667e-06,4.41369042767644e-06,1.91316065441941e-06,9.50331719562491e-06,1.46652104694058e-06
"81",1120,-7.20817643894568e-06,6.41813508946377e-06,-5.15645970191426e-06,-6.6832933965802e-07,4.77339288528099e-06,4.52399193657936e-06
"82",1119,-8.48017561304275e-06,3.37587820105302e-06,-9.15828538206158e-06,-3.53834199988048e-06,2.77383843817411e-06,2.80643986937694e-06
"83",1118,-3.30904526708723e-06,-5.587885308165e-06,-9.9543036605974e-06,-3.36012084263836e-06,-2.34186947473656e-07,4.74079145407817e-06
"84",1117,-7.19948272395826e-07,-1.05221119207133e-05,-9.43811433321923e-06,5.98670948321298e-06,-4.2072146967252e-06,5.44932922555301e-06
"85",1116,-9.45984862068771e-07,-1.14376687803261e-05,-1.08052010149912e-05,1.07057666498226e-05,-3.96542074863754e-06,8.10091229671651e-06
"86",1115,-5.43357186712033e-09,-8.65839677028491e-06,-3.42260691911043e-06,1.85148961372738e-05,-2.90587423454557e-06,7.70915176509583e-06
"87",1114,-1.7170087100157e-06,-6.30348672306716e-06,-7.62873490146184e-07,1.66479208437251e-05,-1.3545894664776e-06,7.98409050157302e-06
"88",1113,-2.12452660005107e-06,-1.42142240044338e-06,2.45054091207924e-07,9.41257654544368e-06,-1.26602224504317e-07,5.05267847925191e-06
"89",1112,-1.7713444286871e-06,5.12385827071165e-07,2.36414711939186e-06,-9.44898147695338e-07,3.2693801924571e-06,1.78221157242139e-07
"90",1111,2.35925690471145e-06,1.74308985497791e-06,4.6163626583207e-06,-1.15957857216598e-05,3.84262202444021e-06,-9.43811433321935e-07
"91",1110,5.19612477654437e-06,8.59373726506591e-06,9.63806977792992e-06,-1.66946495617825e-05,8.48180568460281e-07,-2.47118848517449e-06
"92",1109,7.29348351725974e-06,8.32477545764262e-06,1.27362924565722e-05,-2.0153118055216e-05,1.65995620541075e-06,-5.82750582750584e-06
